terme;categorie;forme_privilegiee;variantes;frequence;documents;sigle_developpement;statut;source_normative;exemple_1;exemple_2;note
Zusammenarbeit;autre;Zusammenarbeit;;276;87;;neutre;;Damit die Unterstützung optimal gelingt, ist es für Schulische Heilpädagog:innen hilfreich, die Aufgaben der verschiedenen Fachstellen zu kennen und sich mit Gelingensbedingungen der interinstitutionellen Zusammenarbeit auseinanderzusetzen.;Wie kann eine gut organisierte Zusammenarbeit in Bezug auf die unterschiedlichen Aufgabenbereiche aussehen und welche Voraussetzungen müssen dafür erfüllt sein?;
gibt;autre;gibt;;265;122;;neutre;;Nach dem Abschluss der obligatorischen Schulzeit gibt es eine Vielzahl von möglichen Anschlusslösungen.;Im Kanton Bern gibt es mehrere Fachstellen, welche Lernende der besonderen Volksschule auf ihrem Weg in die nachobligatorische Bildung begleiten.;
Schweizerische;autre;Schweizerische;;263;162;;neutre;;Schweizerische Zeitschrift für Heilpädagogik, Jg.;Ein Unternehmen, das inklusive Berufsausbildungen ermöglicht, ist die Schweizerische Post.;
Person;autre;Person;;253;97;;neutre;;Daher ist es sinnvoll, dass die fallführende Person in regelmässigem Austausch mit den Eltern steht, diese über die letzten und nächsten Schritte informiert und sich mit den Eltern darüber austauscht, wie diese ihren Sohn oder ihre Tochter im Berufswahlprozess unterstützen können.;Bei der Zusammenarbeit zwischen verschiedenen Fachstellen ist es wichtig, dass die Akteur:innen ihre Zuständigkeiten klären und dass festgelegt wird, wer die fallführende Person ist und wie der regelmässige Austausch sichergestellt werden kann.;
immer;autre;immer;;252;125;;neutre;;Den Jugendlichen muss immer wieder aufgezeigt werden, dass sie selbst in ihrem Berufswahlprozess die Hauptrolle spielen und dass ihre persönlichen Zukunftspläne und Wünsche im Zentrum stehen.;-   Denken Sie immer daran, dass der/die Jugendliche und seine/ihre spezifische Situation im Mittelpunkt der Kooperation stehen sollte.;
schulische;ecole;schulische;;251;79;;neutre;;Brückenangebote richten sich an Jugendliche, welche keine Lehrstelle finden, schulische Lücken aufweisen und/oder aus anderen Gründen noch nicht bereit für eine Berufslehre sind.;Damit die Unterstützung optimal gelingt, ist es für Schulische Heilpädagog:innen hilfreich, die Aufgaben der verschiedenen Fachstellen zu kennen und sich mit Gelingensbedingungen der interinstitutionellen Zusammenarbeit auseinanderzusetzen.;
Hochschule;ecole;Hochschule;;251;95;;neutre;;Sie ermöglicht den prüfungsfreien Zugang zu einem Studium an einer Fachhochschule.;Die Berufsbildung ist von einer hohen Durchlässigkeit geprägt: Der Besuch weiterführender Bildungsangebote, der Wechsel von der Berufsbildung an eine Hochschule sowie ein Tätigkeitswechsel im Verlauf des Arbeitslebens werden durch die Anrechnung bereits erbrachter Bildungsleistungen erleichtert.;
viele;autre;viele;;244;123;;neutre;;Viele Lernende des besonderen Volksschulangebots, sei dieses integrativ oder separativ, gehören aufgrund ihrer Herkunft mindestens einer der genannten Gruppen an und haben somit ein erhöhtes Risiko, über die erste Schwelle zu stolpern.;Bei Jugendlichen des besonderen Volksschulangebots sind oftmals viele;
selbst;autre;selbst;;244;112;;neutre;;Den Jugendlichen muss immer wieder aufgezeigt werden, dass sie selbst in ihrem Berufswahlprozess die Hauptrolle spielen und dass ihre persönlichen Zukunftspläne und Wünsche im Zentrum stehen.;Zeitweise habe er selbst nicht mehr an sich geglaubt: «Mir wurde oft gesagt, dass ich nicht im ersten Arbeitsmarkt arbeiten kann.» Sein Weg unterstreicht die Wichtigkeit der inklusiven Berufsausbildung.;
drei;autre;drei;;244;104;;neutre;;Sie eröffnet den Zugang zu einer drei- oder vierjährigen beruflichen Grundbildung mit EFZ.;Drei- oder vierjährige berufliche Grundbildung mit eidgenössischem Fähigkeitszeugnis (EFZ);
digitale;autre;digitale;;243;56;;neutre;;Digitale Teilhabe von Lernenden mit Beeinträchtigungen in der Berufsbildung.;Der digitale Wandel eröffnet neue Möglichkeiten für die Integration innovativer Ansätze ins Bildungssystem.;
da;autre;da;;242;119;;neutre;;Da die Eltern und die Lehrpersonen am regelmässigsten mit den Jugendlichen in Kontakt stehen, ist hier die Hürde wahrscheinlich am kleinsten, sich Unterstützung zu holen.;Bei der Zusammenarbeit zwischen verschiedenen Fachstellen ist es wichtig, dass die Akteur:innen ihre Zuständigkeiten klären und dass festgelegt wird, wer die fallführende Person ist und wie der regelmässige Austausch sichergestellt werden kann.;
inklusiven;autre;inklusiven;;241;77;;neutre;;Zeitweise habe er selbst nicht mehr an sich geglaubt: «Mir wurde oft gesagt, dass ich nicht im ersten Arbeitsmarkt arbeiten kann.» Sein Weg unterstreicht die Wichtigkeit der inklusiven Berufsausbildung.;Rahmenbedingungen einer inklusiven Berufsbildung;
Lernende;ecole;Lernende;;240;65;;neutre;;Viele Lernende des besonderen Volksschulangebots, sei dieses integrativ oder separativ, gehören aufgrund ihrer Herkunft mindestens einer der genannten Gruppen an und haben somit ein erhöhtes Risiko, über die erste Schwelle zu stolpern.;Im Kanton Bern gibt es mehrere Fachstellen, welche Lernende der besonderen Volksschule auf ihrem Weg in die nachobligatorische Bildung begleiten.;
Umsetzung;autre;Umsetzung;;237;85;;neutre;;Die Umsetzung (Anzahl Lektionen für die berufliche Orientierung, Integration in andere Fächer oder eigenes Fach etc.) liegt in der Kompetenz der Kantone.;Im Sommer des Jahres 2025 wird das SBFI im Rahmen einer Umfrage die Umsetzung der Massnahmen prüfen.;
unterstützen;autre;unterstützen;;236;115;;neutre;;Bei vielen Jugendlichen des besonderen Volksschulangebots können die Eltern ihre Kinder nicht ausreichend unterstützen.;Ein weiterer wichtiger Punkt ist die Zusammenarbeit zwischen den unterstützenden Akteur:innen und den Eltern.;
geht;autre;geht;;233;113;;neutre;;Dabei geht es darum, gemeinsam eine optimale Passung basierend auf den Bedürfnissen und Möglichkeiten der Person mit Behinderung einerseits und den Angeboten und Anforderungen der Berufsbildung und Invalidenversicherung andererseits zu erreichen.;Aus dem Schattenbericht von Inclusion Handicap (2017) geht hervor, dass Jugendliche mit Behinderungen in der Schweiz bereits beim Zugang zur Berufsbildung mit zahlreichen, teils schweren Benachteiligungen konfrontiert sind.;
Schweizerische Zeitschrift;autre;Schweizerische Zeitschrift;;231;160;;neutre;;Schweizerische Zeitschrift für Heilpädagogik, Jg.;Schweizerische Zeitschrift für Heilpädagogik, 30, 06/2024;
Praxis;autre;Praxis;;227;98;;neutre;;Vermittlung von Theorie und Praxis: die drei Lernorte;Ein etablierter Ansatz aus der Praxis ist das Modell der Supported Education in Form eines Jobcoachings.;
fördern;autre;fördern;;222;105;;neutre;;Um das gegenseitige Verständnis für die Komplexität des jeweils anderen Systems zu fördern, hat das Staatssekretariat für Bildung, Forschung und Innovation im Rahmen des Projekts «Gehörlose und Hörbehinderte und ihr Zugang zur Berufsbildung» einen Bericht erarbeitet (SBFI, 2024b).;Sie führen die Lernenden in den Betriebs-, Berufs- und Arbeitsalltag ein, definieren Lernziele, begleiten, unterstützen und fördern die Lernenden in der praktischen Arbeit und beurteilen die Lernergebnisse.;
beim;autre;beim;;221;113;;neutre;;Bei Jugendlichen mit Mehrfachschwierigkeiten wie schwachen Schulleistungen, Motivationsproblemen oder ungenügender Unterstützung durch die Eltern sollte die Klassenlehrperson eine Anmeldung beim Case Management Berufsbildung[2] vornehmen.;Die unterstützenden Akteur:innen haben unterschiedliche Aufträge: Die Schule bietet Berufswahlunterricht an und unterstützt die Jugendlichen beim Erstellen der Bewerbungsunterlagen.;
Jahr;autre;Jahr;;220;90;;neutre;;So wurde etwa im Rahmen der TREE2-Studie festgestellt, dass sich rund ein Drittel der Schüler:innen aus Elternhäusern mit niedrigem Bildungsniveau und/oder tiefem sozio-ökonomischem Status im ersten nachobligatorischen Jahr in Zwischenlösungen befand oder ausbildungslos war (Keller et al., 2010).;Im Jahr 2022 trat im Kanton Bern eine Vereinbarung zwischen der IV und dem Case Management Berufsbildung in Kraft, welche die Zuständigkeiten besser regelt.;
neue;autre;neue;;220;94;;neutre;;Klar ist: Um die Zugänglichkeit des ersten Arbeitsmarkts für Jugendliche mit Behinderungen zu verbessern und Inklusion voranzutreiben, braucht es neue Denk- und Lösungsansätze.;Dafür benötigt es von allen beteiligten Akteur:innen und insbesondere den Lehrbetrieben Mut, neue Wege zu gehen, um eine inklusive Berufsbildung voranzutreiben.;
Jahren;autre;Jahren;;215;93;;neutre;;Diese wurde vor 20 Jahren von Joachim Schoss gegründet, der bei einem unverschuldeten Motorradunfall seinen rechten Arm und sein rechtes Bein verloren hatte.;Die Forschung aus den vergangenen Jahren zur Verwendung einer Sprachausgabe verdeutlicht, dass man ihr im schulischen Kontext skeptisch begegnet.;
ab;autre;ab;;208;116;;neutre;;Denn wie Menschen mit Gehörlosigkeit oder einer Hörbehinderung sozialisiert werden, hängt massgeblich davon ab, wie sie mit der Umgebung kommunizieren, aber auch welchen Zugang sie zu vorschulischen und schulischen Fördermassnahmen erhalten.;Die Berufsbildung deckt ein breites Spektrum an Bildungsmöglichkeiten ab.;
www;autre;www;;207;43;;neutre;;Weitere Informationen: www.enableme.ch/lehrstellenportal;Tecklenburg (Hrsg.), Wörterbuch der Schweizer Sozialpolitik. https://www.seismoverlag.ch/de/daten-woerterbuch/berufsbildung-fur-menschen-mit-behinderung;
pädagogische;autre;pädagogische;;207;84;;neutre;;Vielfältige pädagogische Zugänge zu einer kindheitspädagogischen Praxis (S.;Der digitale Wandel wirkt sich auf das Verständnis von Unterricht und die Rolle der Lehrpersonen aus, auf die Gestaltung von Lernumgebungen und auf die Einbeziehung verschiedener Akteur:innen wie auch auf pädagogische und bildungspolitische Ziele.;
häufig;autre;häufig;;204;99;;neutre;;Häufig ist hierfür jedoch die Unterstützung durch die Schule notwendig.;Eigene Erfahrungen mit Fachpersonen der IV und des BIZ (Berufsberatungs- und Informationszentren) zeigen, dass die Kooperation zwischen den Fachstellen häufig schwierig ist.;
zwei;autre;zwei;;204;108;;neutre;;Zwei komplexe Systeme finden zusammen;Zwei Drittel der Jugendlichen in der Schweiz entscheiden sich für eine berufliche Grundbildung.;
andere;autre;andere;;204;104;;neutre;;Dabei geht es darum, gemeinsam eine optimale Passung basierend auf den Bedürfnissen und Möglichkeiten der Person mit Behinderung einerseits und den Angeboten und Anforderungen der Berufsbildung und Invalidenversicherung andererseits zu erreichen.;Die Umsetzung (Anzahl Lektionen für die berufliche Orientierung, Integration in andere Fächer oder eigenes Fach etc.) liegt in der Kompetenz der Kantone.;
eigenen;autre;eigenen;;203;104;;neutre;;Ein Grund dafür ist, dass alle Akteur:innen ihre eigenen Aufträge haben, jedoch haben sie häufig zu wenig Einblick in die Aufträge oder das Fachgebiet der anderen Stellen.;Der Hauptgedanke im Berufswahlprozess ist, dass die Schüler:innen sich mit ihren eigenen Interessen, Fähigkeiten und Möglichkeiten befassen, das Bildungssystem kennenlernen und die Möglichkeit haben, sich mit einem breiten Spektrum an Berufen auseinanderzusetzen, bevor sie eine Berufswahl treffen.;
bereits;autre;bereits;;200;106;;neutre;;-   Informieren Sie die Eltern und Jugendlichen frühzeitig über die verschiedenen Unterstützungsangebote, idealerweise bereits beim Standortgespräch in der 7.;Die Berufsbildung ist von einer hohen Durchlässigkeit geprägt: Der Besuch weiterführender Bildungsangebote, der Wechsel von der Berufsbildung an eine Hochschule sowie ein Tätigkeitswechsel im Verlauf des Arbeitslebens werden durch die Anrechnung bereits erbrachter Bildungsleistungen erleichtert.;
machen;autre;machen;;200;107;;neutre;;Beim Besuch der überbetrieblichen Kurse (üK) empfiehlt es sich, mit dem üK-Zentrum Kontakt aufzunehmen, um auf die Situation und Hilfsmittel aufmerksam zu machen.;Theo: Beruflich: Noch nie in der Geschichte der Firma hat jemand ein Geländer gemacht und das konnte ich während der PrA schon machen.;
Beeinträchtigungen;handicap;Beeinträchtigungen;;199;56;;neutre;;Ein weiterer Teil der Massnahmen ist im interinstitutionellen Kontext anzugehen und kann auch Personen mit anderen Arten von Beeinträchtigungen betreffen (z.;Indem der Bericht aufzeigt, wie die Berufsbildung funktioniert und welche Unterstützungsangebote zur Integration bestehen, kann er auch bei anderen Arten von Beeinträchtigungen eine Informationsquelle sein.;
sozialen;autre;sozialen;;199;95;;neutre;;Die zentrale These des systemischen Denkens ist, dass es in einem sozialen System nicht die eine Ursache gibt, sondern dass sich verschiedene Faktoren stets wechselseitig beeinflussen (König et al., 2020).;Lernzentrierte Kooperation im sozialen Netzwerk Schule lernen und lehren: Reviewstudie und Curriculumanalyse;
Wissen;autre;Wissen;;196;99;;neutre;;Die Masterarbeit der Erstautorin soll dazu beitragen, die interinstitutionelle Zusammenarbeit zu verbessern und durch das erworbene Wissen den Lernenden der besonderen Volksschule eine optimale Unterstützung während des Übergangs in die nachobligatorische Bildung zu bieten.[1];So wissen sie beispielweise nicht, an wen sie sich mit welcher Frage wenden sollen.;
Informationen;autre;Informationen;;195;86;;neutre;;Besonders wichtig ist es, dass die Lehrpersonen (Schulische Heilpädagog:in und Klassenlehrperson) in engem Austausch mit der IV und dem Case Management stehen und dass sie diesen Institutionen keine relevanten Informationen vorenthalten.;Dies führt dazu, dass Informationen vonseiten der Jugendlichen mit grosser Wahrscheinlichkeit eher in die Schule gelangen als zu anderen Fachstellen.;
Kooperation;autre;Kooperation;;194;53;;neutre;;In welchen Bereichen gibt es Unterstützungslücken, respektive besteht die Gefahr, dass die Kooperation zwischen den verschiedenen Akteur:innen nicht funktioniert?;Eigene Erfahrungen mit Fachpersonen der IV und des BIZ (Berufsberatungs- und Informationszentren) zeigen, dass die Kooperation zwischen den Fachstellen häufig schwierig ist.;
besonders;autre;besonders;;194;113;;neutre;;Besonders wichtig ist es, dass die Lehrpersonen (Schulische Heilpädagog:in und Klassenlehrperson) in engem Austausch mit der IV und dem Case Management stehen und dass sie diesen Institutionen keine relevanten Informationen vorenthalten.;Jugendliche mit gesundheitlichen Einschränkungen sind dabei besonders gefordert.;
sowohl;autre;sowohl;;193;105;;neutre;;Dafür präsentieren wir sowohl theoretische Grundlagen als auch Ausschnitte aus verschiedenen Interviews.;Es braucht Anpassungsleistungen sowohl vonseiten der Lehrbetriebe als auch von den Jugendlichen.;
verschiedene;autre;verschiedene;;192;111;;neutre;;verschiedene unterstützende Akteur:innen am Berufswahlprozess beteiligt.;Wenn viele verschiedene Akteur:innen am Berufswahlprozess beteiligt sind, kann dies für betroffene Jugendliche herausfordernd sein, denn es besteht die Gefahr, den Überblick zu verlieren.;
Zugang;autre;Zugang;;191;91;;neutre;;Denn wie Menschen mit Gehörlosigkeit oder einer Hörbehinderung sozialisiert werden, hängt massgeblich davon ab, wie sie mit der Umgebung kommunizieren, aber auch welchen Zugang sie zu vorschulischen und schulischen Fördermassnahmen erhalten.;Sie eröffnet den Zugang zu einer drei- oder vierjährigen beruflichen Grundbildung mit EFZ.;
Zeit;autre;Zeit;;188;107;;neutre;;Nach dem Abschluss der obligatorischen Schulzeit gibt es eine Vielzahl von möglichen Anschlusslösungen.;Weiter sollten sich Betriebe bewusst sein, dass für die Organisation von Dolmetsch-Dienstleistungen genügend Zeit einberechnet werden muss, was im Arbeitsalltag teilweise hinderlich sein kann.;
Gewalt;autre;Gewalt;;188;35;;neutre;;Zudem sind sie in erhöhtem Mass Gewalt und Diskriminierung am Arbeitsplatz ausgesetzt (26 % gegenüber 18 %).;Gewalt und Gewaltschutz in Einrichtungen der Behindertenhilfe;
ersten;autre;ersten;;187;89;;neutre;;So wurde etwa im Rahmen der TREE2-Studie festgestellt, dass sich rund ein Drittel der Schüler:innen aus Elternhäusern mit niedrigem Bildungsniveau und/oder tiefem sozio-ökonomischem Status im ersten nachobligatorischen Jahr in Zwischenlösungen befand oder ausbildungslos war (Keller et al., 2010).;Bei Jugendlichen mit Migrationshintergrund aus der ersten Generation ist der Anteil mit 40 Prozent sogar noch höher (Gomensoro & Meyer, 2021).;
Bereich;autre;Bereich;;186;85;;neutre;;Im Tessin unterstützt in diesem Bereich insbesondere die Gruppo di lavoro Krisalide.;Der Austausch mit Personen mit derselben Behinderung (Peers) ist auch in diesem Bereich zentral.;
Ressourcen;autre;Ressourcen;;184;89;;neutre;;In einem Lehrbetriebsverbund vereinen mehrere Unternehmen ihre Ressourcen und bieten gemeinsam einen oder mehrere Ausbildungsplätze an.;So werden gemäss Häfeli et al. (2014) oftmals Risiken und Defizite gesehen statt Schutzfaktoren und Ressourcen.;
szh;autre;szh;;182;51;;neutre;;Schweizerische Zeitschrift für Heilpädagogik, 28 (12), 38–43. https://ojs.szh.ch/zeitschrift/article/view/1057;Schweizerische Zeitschrift für Heilpädagogik, 29 (1), 22–28. https://ojs.szh.ch/zeitschrift/article/view/1116;
individuellen;autre;individuellen;;180;94;;neutre;;Diese umfassen insbesondere die Anwendung von individuellen technischen Hörsystemen und Hilfsmitteln, Dolmetschen für Gebärdensprache oder Ergänzende Laut-Sprache (ELS), Schriftdolmetschen sowie Höranlagen.;Die Berufsberaterin berichtet, dass die Arbeitswelt sich wenig an den individuellen Bedürfnissen der Jugendlichen orientiere.;
Medien;autre;Medien;;179;49;;neutre;;Medien 50;Medien;
Projekt;autre;Projekt;;178;65;;neutre;;"Genf Flughafen: Projekt ""Unsichtbare Behinderung""";Link zur Website des Flughafens Genf und einem Projekt zu unsichtbaren Behinderungen (auf Französisch);
BY;autre;BY;;175;173;;neutre;;[Creative Common BY];"[Creative Common BY]
Dieser Artikel hat ein Urheber-Recht.";
Dr;autre;Dr;;175;112;;neutre;;Dr.;"+---------------------------------+---------------+---------------+---------------+
| Dr. phil.";
Common;autre;Common;;174;174;;neutre;;[Creative Common BY];Hochschule Luzern. https://www.hslu.ch/-/media/campus/common/files/dokumente/h/1-medienmitteilungen-und-news/2020/w/hslu-arbeitsmarktstudie-gehrlosen-august-2020.pdf/?la=de-ch;
etwa;autre;etwa;;174;100;;neutre;;So wurde etwa im Rahmen der TREE2-Studie festgestellt, dass sich rund ein Drittel der Schüler:innen aus Elternhäusern mit niedrigem Bildungsniveau und/oder tiefem sozio-ökonomischem Status im ersten nachobligatorischen Jahr in Zwischenlösungen befand oder ausbildungslos war (Keller et al., 2010).;Um Akteur:innen ausserhalb der Berufsbildung zu informieren und für die Thematik zu sensibilisieren, werden die Projektergebnisse auch in Gremien wie etwa der interinstitutionellen Zusammenarbeit vorgestellt.;
Creative;autre;Creative;;173;173;;neutre;;[Creative Common BY];"[Creative Common BY]
Dieser Artikel hat ein Urheber-Recht.";
Creative Common;autre;Creative Common;;173;173;;neutre;;[Creative Common BY];"[Creative Common BY]
Dieser Artikel hat ein Urheber-Recht.";
Common BY;autre;Common BY;;173;173;;neutre;;[Creative Common BY];"[Creative Common BY]
Dieser Artikel hat ein Urheber-Recht.";
Creative Common BY;autre;Creative Common BY;;173;173;;neutre;;[Creative Common BY];"[Creative Common BY]
Dieser Artikel hat ein Urheber-Recht.";
Raum;autre;Raum;;171;72;;neutre;;Es folgen «ein ruhiger Raum für Prüfungen» mit 51 Prozent und «Einzelarbeit statt Gruppenarbeit» mit 45 Prozent.;Empfehlung 9: Wir empfehlen, der direkten Partizipation der Lernenden im Autismus-Spektrum ausreichend Raum zu geben bei Anpassungen in der Gestaltung des Schulalltags und weiteren Entscheidungsfindungen.;
Kanton;institution;Kanton;;169;60;;neutre;;Im Kanton Bern gibt es mehrere Fachstellen, welche Lernende der besonderen Volksschule auf ihrem Weg in die nachobligatorische Bildung begleiten.;Im Jahr 2022 trat im Kanton Bern eine Vereinbarung zwischen der IV und dem Case Management Berufsbildung in Kraft, welche die Zuständigkeiten besser regelt.;
verstehen;autre;verstehen;;169;87;;neutre;;Viele Personen mit einer Hörbehinderung können allein oder mit minimaler Hilfe Inhalte verstehen und dem Gesagten folgen.;Empfehlung 2: Wir empfehlen, dass jede Schule im Schulteam ein Basiswissen aufbaut zum Thema «Autismus verstehen».;
deren;autre;deren;;167;95;;neutre;;Die Ausbildungssituation der Jugendlichen auf der Sekundarstufe II ist eng mit deren sozialer Herkunft verknüpft.;Indem der Bericht aufzeigt, wie die Berufsbildung funktioniert und welche Unterstützungsangebote zur Integration bestehen, kann er auch bei anderen Arten von Beeinträchtigungen eine Informationsquelle sein.;
Klasse;ecole;Klasse;;167;59;;neutre;;Klasse.;Auch die weiteren angebotenen Professionalisierungsangebote «Schriftliche Informationsmaterialien über Autismus», «Unterstützung bei der Aufklärung der Klasse» und «Weiterbildung zum Thema Autismus» werden mit etwa 40 Prozent unseres Erachtens durchaus hoch gewichtet.;
stehen;autre;stehen;;166;99;;neutre;;Für Personen mit einem besonderen Bildungsbedarf stehen Angebote wie die Berufliche Grundbildung mit Unterstützung der IV oder die Praktische Ausbildung nach INSOS zur Verfügung.;Da die Eltern und die Lehrpersonen am regelmässigsten mit den Jugendlichen in Kontakt stehen, ist hier die Hürde wahrscheinlich am kleinsten, sich Unterstützung zu holen.;
stärken;autre;stärken;;166;83;;neutre;;Schliesslich sollten die Jugendlichen während ihrer beruflichen Grundbildung darin bestärkt werden, über ihre eigenen Stärken zu kommunizieren und selbstbewusst zu ihrer Identität als Jugendliche mit einer Hörbehinderung zu stehen.;Um das allgemeine Verständnis zu stärken, hat der Kanton Freiburg verschiedene Massnahmen zur Sensibilisierung ergriffen.;
denen;autre;denen;;165;93;;neutre;;Die Schweizer Berufsbildung bietet mit ihren rund 250 Abschlüssen der beruflichen Grundbildung eine grosse Auswahl an Berufen beziehungsweise Lehrstellen, mit denen Jugendliche ins Berufsleben starten können.;Wichtig ist, im Einzelfall das jeweils beste Vorgehen und Angebot zu finden und dabei die vorhandenen Instrumente optimal zu nutzen.;
Sonderpädagogik;autre;Sonderpädagogik;;165;55;;neutre;;Somit wird die Sonderpädagogik zur wertvollen Ressource für die Sekundarstufe II.;Daneben kann das Amt für Sonderpädagogik bei fachspezifischen Fragen beigezogen werden.;
braucht;autre;braucht;;164;90;;neutre;;Es braucht Anpassungsleistungen sowohl vonseiten der Lehrbetriebe als auch von den Jugendlichen.;Wer diesen Weg gehen möchte, braucht jedoch Geduld, Durchsetzungsvermögen und Kraft.;
gut;autre;gut;;161;78;;neutre;;Wie kann eine gut organisierte Zusammenarbeit in Bezug auf die unterschiedlichen Aufgabenbereiche aussehen und welche Voraussetzungen müssen dafür erfüllt sein?;Je nach persönlicher Situation sind die Betroffenen unterschiedlich gut mit den bestehenden Angeboten vertraut.;
Rolle;autre;Rolle;;161;90;;neutre;;Zudem nehmen die Eltern eine zentrale Rolle im Berufswahlprozess ihrer Kinder ein.;Abklärungsstellen und externe Fachpersonen spielen bei der Diagnosevermittlung eine untergeordnete Rolle.;
vgl;autre;vgl;;161;67;;neutre;;In Bezug auf Barrierefreiheit der Lernumgebungen leistet das Netzwerk der Hochschulen Pionierarbeit (vgl.;In Verbindung mit dem Normalisierungsprinzip (vgl. viertes Prinzip) können viele alltäglich Situationen «ausgehalten» werden, bei denen bis anhin oftmals verfrüht eingegriffen wurde.;
Umgang;autre;Umgang;;161;81;;neutre;;-   Erarbeitung von Strategien im Umgang mit Motivation, Konzentration, Stress und Belastung;Was bedeutet das nun konkret für den Umgang mit Screenreader-Programmen?;
deutlich;autre;deutlich;;159;89;;neutre;;Menschen ohne allgemeinbildenden oder beruflichen Abschluss auf der Sekundarstufe II haben deutlich verminderte Chancen auf eine erfolgreiche berufliche Entwicklung und eine gute gesellschaftliche Integration (Häfeli & Schellenberg, 2009).;Dies verweist deutlich auf einen vorhandenen Informationsbedarf.;
Ausbildung;autre;Ausbildung;;159;58;;neutre;;Für Personen mit einem besonderen Bildungsbedarf stehen Angebote wie die Berufliche Grundbildung mit Unterstützung der IV oder die Praktische Ausbildung nach INSOS zur Verfügung.;Für die praktische Ausbildung der Lernenden im Lehrbetrieb sind die Berufsbildner:innen zuständig.;
ihnen;autre;ihnen;;159;89;;neutre;;Darüber hinaus ist es wichtig, den individuellen Bedürfnissen und Fähigkeiten der betroffenen Jugendlichen gerecht zu werden und ihnen zu ermöglichen, ihr volles akademisches Potenzial zu entfalten.;Beispiel: Wir lassen die Jugendlichen zu Beginn einer Sitzung auf einer Skala einschätzen, wie es ihnen geht – je nachdem visualisieren wir die einzelnen Stufen mit Smileys.;
dafür;autre;dafür;;158;99;;neutre;;Wie kann eine gut organisierte Zusammenarbeit in Bezug auf die unterschiedlichen Aufgabenbereiche aussehen und welche Voraussetzungen müssen dafür erfüllt sein?;Ein Grund dafür ist, dass alle Akteur:innen ihre eigenen Aufträge haben, jedoch haben sie häufig zu wenig Einblick in die Aufträge oder das Fachgebiet der anderen Stellen.;
unterstützt;autre;unterstützt;;158;87;;neutre;;In solchen Fällen ist es sinnvoll, wenn der oder die zuständige Heilpädagog:in die Eltern und Jugendlichen unterstützt.;Die unterstützenden Akteur:innen haben unterschiedliche Aufträge: Die Schule bietet Berufswahlunterricht an und unterstützt die Jugendlichen beim Erstellen der Bewerbungsunterlagen.;
Situation;autre;Situation;;158;75;;neutre;;-   Denken Sie immer daran, dass der/die Jugendliche und seine/ihre spezifische Situation im Mittelpunkt der Kooperation stehen sollte.;Schliesslich besteht ein grosses Netzwerk an Beratungsstellen, Verbänden und Vereinen, die mit der Situation von Gehörlosigkeit oder Hörbehinderung vertraut sind und Hilfestellungen wie spezialisierte Beratungsdienste oder Erfahrungsaustausche für Eltern anbieten.;
Schweizer;autre;Schweizer;;158;55;;neutre;;Die Schweizer Berufsbildung bietet mit ihren rund 250 Abschlüssen der beruflichen Grundbildung eine grosse Auswahl an Berufen beziehungsweise Lehrstellen, mit denen Jugendliche ins Berufsleben starten können.;Auf Schweizer Ebene;
kognitiven;autre;kognitiven;;158;65;;neutre;;Besondere Bedürfnisse bedeutet: Wir begleiten Menschen mit leichten kognitiven Einschränkungen, mit Lernbeeinträchtigungen, mit psychischen Belastungen, mit Aufmerksamkeitsstörungen (ADS und ADHS), mit Autismus-Spektrum-Störungen (ASS) oder mit Entwicklungsstörungen.;Und zwar nicht vornehmlich auf einer kognitiven Ebene, sondern auf einer Ebene der Alltagspraxis.;
Institutionen;institution;Institutionen;;157;53;;neutre;;Besonders wichtig ist es, dass die Lehrpersonen (Schulische Heilpädagog:in und Klassenlehrperson) in engem Austausch mit der IV und dem Case Management stehen und dass sie diesen Institutionen keine relevanten Informationen vorenthalten.;Denn auch wenn es Checklisten und klar definierte Zuständigkeiten gibt, so liegt es im Einzelfall trotzdem vor allem an den zugewiesenen Fachpersonen der Institutionen, miteinander zu kooperieren und den Jugendlichen den Schritt über die erste Schwelle zu erleichtern.;
darauf;autre;darauf;;155;97;;neutre;;Zudem wird näher darauf eingegangen, wie Jugendliche vor, während und nach Abschluss einer beruflichen Grundbildung unterstützt werden und was – gemäss der Analyse des SBFI – für Jugendliche und Lernende mit Gehörlosigkeit oder einer Hörbehinderung für den Start ins Berufsleben wichtig ist.;Gleichzeitig ist es eine Herausforderung, für verschiedene Behinderungen und darauf beruhende Massnahmen einheitliche Standards zu definieren, während zugleich die individuellen Bedürfnisse berücksichtigt werden müssen (Ambord & Charrière, 2022).;
Lehrperson;ecole;Lehrperson;;155;41;;neutre;;Ausserdem hilft es mir bei der Kommunikation, zum Beispiel mit der Lehrperson.;Auch wenn sie Teil des gesamten Bildungssystems und damit der Gesellschaft sind, ist insbesondere die Bedeutung der einzelnen Lehrperson nicht zu unterschätzen.;
individuelle;autre;individuelle;;154;82;;neutre;;Abschlussprüfung, individuelle praktische Arbeit IPA) kann beim kantonalen Berufsbildungsamt ein Antrag für die Gewährung eines Nachteilsausgleichs gestellt werden.;Vielmehr sei es entscheidend, die individuellen Möglichkeiten und Ressourcen der Jugendlichen sorgfältig zu prüfen und das Umfeld einzubeziehen.;
